time_step,v_raw,v_float
2515,  5290,1.291504
2525,  5315,1.297607
2535,  5339,1.303467
2545,  5363,1.309326
2555,  5386,1.314941
2565,  5409,1.320557
2575,  5431,1.325928
2585,  5453,1.331299
2595,  5474,1.336426
2605,  5495,1.341553
2615,  5515,1.346436
2625,  5534,1.351074
2635,  5553,1.355713
2645,  5571,1.360107
2655,  5589,1.364502
2665,  5607,1.368896
2675,  5624,1.373047
2685,  5641,1.377197
2695,  5657,1.381104
2705,  5673,1.385010
2715,  5688,1.388672
2725,  5703,1.392334
2735,  5717,1.395752
2745,  5731,1.399170
2755,  5744,1.402344
2765,  5757,1.405518
2775,  5770,1.408691
2785,  5782,1.411621
2795,  5794,1.414551
2805,  5805,1.417236
2815,  5816,1.419922
2825,  5827,1.422607
2835,  5837,1.425049
2845,  5847,1.427490
2855,  5856,1.429688
2865,  5865,1.431885
2875,  5874,1.434082
2885,  5882,1.436035
2895,  5890,1.437988
2905,  5898,1.439941
2915,  5905,1.441650
2925,  5912,1.443359
2935,  5919,1.445068
2945,  5925,1.446533
2955,  5931,1.447998
2965,  5937,1.449463
2975,  5942,1.450684
2985,  5947,1.451904
2995,  5952,1.453125
3005,  5957,1.454346
3015,  5961,1.455322
3025,  5965,1.456299
3035,  5969,1.457275
3045,  5972,1.458008
3055,  5975,1.458740
3065,  5978,1.459473
3075,  5980,1.459961
3085,  5982,1.460449
3095,  5984,1.460938
3105,  5986,1.461426
3115,  5987,1.461670
3125,  5987,1.461670
3135,  5987,1.461670
3145,  5987,1.461670
3155,  5987,1.461670
3165,  5987,1.461670
3175,  5987,1.461670
3185,  5987,1.461670
3195,  5987,1.461670
3205,  5987,1.461670
3215,  5987,1.461670
3225,  5987,1.461670
3235,  5987,1.461670
3245,  5986,1.461426
3255,  5984,1.460938
3265,  5982,1.460449
3275,  5980,1.459961
3285,  5978,1.459473
3295,  5976,1.458984
3305,  5973,1.458252
3315,  5970,1.457520
3325,  5967,1.456787
3335,  5964,1.456055
3345,  5961,1.455322
3355,  5957,1.454346
3365,  5953,1.453369
3375,  5949,1.452393
3385,  5945,1.451416
3395,  5941,1.450439
3405,  5937,1.449463
3415,  5932,1.448242
3425,  5927,1.447021
3435,  5922,1.445801
3445,  5917,1.444580
3455,  5912,1.443359
3465,  5907,1.442139
3475,  5902,1.440918
3485,  5896,1.439453
3495,  5890,1.437988
3505,  5884,1.436523
3515,  5878,1.435059
3525,  5872,1.433594
3535,  5866,1.432129
3545,  5860,1.430664
3555,  5854,1.429199
3565,  5847,1.427490
3575,  5840,1.425781
3585,  5833,1.424072
3595,  5826,1.422363
3605,  5819,1.420654
3615,  5812,1.418945
3625,  5805,1.417236
3635,  5798,1.415527
3645,  5791,1.413818
3655,  5783,1.411865
3665,  5775,1.409912
3675,  5767,1.407959
3685,  5759,1.406006
3695,  5751,1.404053
3705,  5743,1.402100
3715,  5735,1.400146
3725,  5727,1.398193
3735,  5719,1.396240
3745,  5711,1.394287
3755,  5703,1.392334
3765,  5694,1.390137
3775,  5685,1.387939
3785,  5676,1.385742
3795,  5667,1.383545
3805,  5658,1.381348
3815,  5649,1.379150
3825,  5640,1.376953
3835,  5631,1.374756
3845,  5622,1.372559
3855,  5613,1.370361
3865,  5604,1.368164
3875,  5595,1.365967
3885,  5586,1.363770
3895,  5577,1.361572
3905,  5568,1.359375
3915,  5558,1.356934
3925,  5548,1.354492
3935,  5538,1.352051
3945,  5528,1.349609
3955,  5518,1.347168
3965,  5508,1.344727
3975,  5498,1.342285
3985,  5488,1.339844
3995,  5478,1.337402
4005,  5468,1.334961
4015,  5458,1.332520
4025,  5448,1.330078
4035,  5438,1.327637
4045,  5428,1.325195
4055,  5418,1.322754
4065,  5408,1.320312
4075,  5398,1.317871
4085,  5388,1.315430
4095,  5378,1.312988
4105,  5368,1.310547
4115,  5358,1.308105
4125,  5348,1.305664
4135,  5338,1.303223
4145,  5328,1.300781
4155,  5318,1.298340
4165,  5307,1.295654
4175,  5296,1.292969
4185,  5285,1.290283
4195,  5274,1.287598
4205,  5263,1.284912
4215,  5252,1.282227
4225,  5241,1.279541
4235,  5230,1.276855
4245,  5219,1.274170
4255,  5208,1.271484
4265,  5197,1.268799
4275,  5186,1.266113
4285,  5175,1.263428
4295,  5164,1.260742
4305,  5153,1.258057
4315,  5142,1.255371
4325,  5131,1.252686
4335,  5120,1.250000
4345,  5109,1.247314
4355,  5098,1.244629
4365,  5087,1.241943
4375,  5076,1.239258
4385,  5065,1.236572
4395,  5054,1.233887
4405,  5043,1.231201
4415,  5032,1.228516
4425,  5021,1.225830
4435,  5010,1.223145
4445,  4999,1.220459
4455,  4988,1.217773
4465,  4977,1.215088
4475,  4966,1.212402
4485,  4955,1.209717
4495,  4944,1.207031
4505,  4933,1.204346
4515,  4922,1.201660
4525,  4911,1.198975
4535,  4900,1.196289
4545,  4889,1.193604
4555,  4878,1.190918
4565,  4867,1.188232
4575,  4856,1.185547
4585,  4845,1.182861
4595,  4834,1.180176
4605,  4823,1.177490
4615,  4812,1.174805
4625,  4801,1.172119
4635,  4790,1.169434
4645,  4779,1.166748
4655,  4768,1.164062
4665,  4757,1.161377
4675,  4746,1.158691
4685,  4735,1.156006
4695,  4724,1.153320
4705,  4713,1.150635
4715,  4702,1.147949
4725,  4691,1.145264
4735,  4680,1.142578
4745,  4670,1.140137
4755,  4659,1.137451
4765,  4649,1.135010
4775,  4639,1.132568
4785,  4629,1.130127
4795,  4619,1.127686
4805,  4609,1.125244
4815,  4599,1.122803
4825,  4589,1.120361
4835,  4579,1.117920
4845,  4569,1.115479
4855,  4559,1.113037
4865,  4549,1.110596
4875,  4539,1.108154
4885,  4529,1.105713
4895,  4519,1.103271
4905,  4509,1.100830
4915,  4499,1.098389
4925,  4489,1.095947
4935,  4479,1.093506
4945,  4469,1.091064
4955,  4459,1.088623
4965,  4449,1.086182
4975,  4439,1.083740
4985,  4429,1.081299
4995,  4419,1.078857
5005,  4409,1.076416
5015,  4399,1.073975
5025,  4389,1.071533
5035,  4379,1.069092
5045,  4369,1.066650
5055,  4359,1.064209
5065,  4349,1.061768
5075,  4339,1.059326
5085,  4329,1.056885
5095,  4319,1.054443
5105,  4309,1.052002
5115,  4299,1.049561
5125,  4289,1.047119
5135,  4279,1.044678
5145,  4269,1.042236
5155,  4259,1.039795
5165,  4249,1.037354
5175,  4239,1.034912
5185,  4229,1.032471
5195,  4219,1.030029
5205,  4209,1.027588
5215,  4199,1.025146
5225,  4189,1.022705
5235,  4179,1.020264
5245,  4169,1.017822
5255,  4159,1.015381
5265,  4149,1.012939
5275,  4140,1.010742
5285,  4131,1.008545
5295,  4122,1.006348
5305,  4113,1.004150
5315,  4104,1.001953
5325,  4095,0.999756
5335,  4086,0.997559
5345,  4077,0.995361
5355,  4067,0.992920
5365,  4057,0.990479
5375,  4047,0.988037
5385,  4037,0.985596
5395,  4027,0.983154
5405,  4017,0.980713
5415,  4007,0.978271
5425,  3996,0.975586
5435,  3985,0.972900
5445,  3974,0.970215
5455,  3963,0.967529
5465,  3952,0.964844
5475,  3941,0.962158
5485,  3930,0.959473
5495,  3918,0.956543
5505,  3906,0.953613
5515,  3894,0.950684
5525,  3882,0.947754
5535,  3870,0.944824
5545,  3858,0.941895
5555,  3846,0.938965
5565,  3833,0.935791
5575,  3820,0.932617
5585,  3807,0.929443
5595,  3794,0.926270
5605,  3781,0.923096
5615,  3768,0.919922
5625,  3755,0.916748
5635,  3742,0.913574
5645,  3728,0.910156
5655,  3714,0.906738
5665,  3700,0.903320
5675,  3686,0.899902
5685,  3672,0.896484
5695,  3658,0.893066
5705,  3644,0.889648
5715,  3629,0.885986
5725,  3614,0.882324
5735,  3599,0.878662
5745,  3584,0.875000
5755,  3569,0.871338
5765,  3554,0.867676
5775,  3539,0.864014
5785,  3523,0.860107
5795,  3507,0.856201
5805,  3491,0.852295
5815,  3475,0.848389
5825,  3459,0.844482
5835,  3443,0.840576
5845,  3427,0.836670
5855,  3411,0.832764
5865,  3394,0.828613
5875,  3377,0.824463
5885,  3360,0.820312
5895,  3343,0.816162
5905,  3326,0.812012
5915,  3309,0.807861
5925,  3292,0.803711
5935,  3274,0.799316
5945,  3256,0.794922
5955,  3238,0.790527
5965,  3220,0.786133
5975,  3202,0.781738
5985,  3184,0.777344
5995,  3166,0.772949
6005,  3148,0.768555
6015,  3129,0.763916
6025,  3110,0.759277
6035,  3091,0.754639
6045,  3072,0.750000
6055,  3053,0.745361
6065,  3034,0.740723
6075,  3015,0.736084
6085,  2995,0.731201
6095,  2975,0.726318
6105,  2955,0.721436
6115,  2935,0.716553
6125,  2915,0.711670
6135,  2895,0.706787
6145,  2875,0.701904
6155,  2855,0.697021
6165,  2834,0.691895
6175,  2813,0.686768
6185,  2792,0.681641
6195,  2771,0.676514
6205,  2750,0.671387
6215,  2729,0.666260
6225,  2708,0.661133
6235,  2686,0.655762
6245,  2664,0.650391
6255,  2642,0.645020
6265,  2620,0.639648
6275,  2598,0.634277
6285,  2576,0.628906
6295,  2554,0.623535
6305,  2532,0.618164
6315,  2509,0.612549
6325,  2486,0.606934
6335,  2463,0.601318
6345,  2440,0.595703
6355,  2417,0.590088
6365,  2394,0.584473
6375,  2371,0.578857
6385,  2348,0.573242
6395,  2324,0.567383
6405,  2300,0.561523
6415,  2276,0.555664
6425,  2252,0.549805
6435,  2228,0.543945
6445,  2204,0.538086
6455,  2180,0.532227
6465,  2156,0.526367
6475,  2131,0.520264
6485,  2106,0.514160
6495,  2081,0.508057
6505,  2056,0.501953
6515,  2031,0.495850
6525,  2006,0.489746
6535,  1981,0.483643
6545,  1956,0.477539
6555,  1930,0.471191
6565,  1904,0.464844
6575,  1878,0.458496
6585,  1852,0.452148
6595,  1826,0.445801
6605,  1800,0.439453
6615,  1774,0.433105
6625,  1748,0.426758
6635,  1722,0.420410
6645,  1695,0.413818
6655,  1668,0.407227
6665,  1641,0.400635
6675,  1614,0.394043
6685,  1587,0.387451
6695,  1560,0.380859
